order_book_id,date,close,volume
000852.XSHG,2015-04-10,9600.401,14730178300.0
000852.XSHG,2015-04-13,9813.596,17113799700.0
000852.XSHG,2015-04-14,9830.062,17541207300.0
000852.XSHG,2015-04-15,9441.192,15766754800.0
000852.XSHG,2015-04-16,9541.766,13521184400.0
000852.XSHG,2015-04-17,9567.695,16182314700.0
000852.XSHG,2015-04-20,9353.612,17543966000.0
000852.XSHG,2015-04-21,9716.349,15181822500.0
000852.XSHG,2015-04-22,9995.262,18096549200.0
000852.XSHG,2015-04-23,10105.27,18855727700.0
000852.XSHG,2015-04-24,10123.91,17419427400.0
000852.XSHG,2015-04-27,10174.9,17248885000.0
000852.XSHG,2015-04-28,9847.893,16926605900.0
000852.XSHG,2015-04-29,10107.4,13462343500.0
000852.XSHG,2015-04-30,10180.49,14074512200.0
000852.XSHG,2015-05-04,10270.13,13215675100.0
000852.XSHG,2015-05-05,10007.27,14857816500.0
000852.XSHG,2015-05-06,9973.991,13319897500.0
000852.XSHG,2015-05-07,9806.508,11342813600.0
000852.XSHG,2015-05-08,10274.38,12780709400.0
000852.XSHG,2015-05-11,10771.62,16040962300.0
000852.XSHG,2015-05-12,11051.43,17809291400.0
000852.XSHG,2015-05-13,11137.3,17698053800.0
000852.XSHG,2015-05-14,11211.1,16981519000.0
000852.XSHG,2015-05-15,11217.93,16038270500.0
000852.XSHG,2015-05-18,11542.28,15285585000.0
000852.XSHG,2015-05-19,11831.36,16296310900.0
000852.XSHG,2015-05-20,12132.37,19811521700.0
000852.XSHG,2015-05-21,12586.05,19195613500.0
000852.XSHG,2015-05-22,12687.29,22874699400.0
000852.XSHG,2015-05-25,12877.87,22281298900.0
000852.XSHG,2015-05-26,13401.31,22803457100.0
000852.XSHG,2015-05-27,13582.55,23041222300.0
000852.XSHG,2015-05-28,12818.99,25665591700.0
000852.XSHG,2015-05-29,13027.21,21002555800.0
000852.XSHG,2015-06-01,13691.17,18801437700.0
000852.XSHG,2015-06-02,14276.32,21223550600.0
000852.XSHG,2015-06-03,14356.6,21656031200.0
000852.XSHG,2015-06-04,14308.65,20307708200.0
000852.XSHG,2015-06-05,14465.75,22874589400.0
000852.XSHG,2015-06-08,14099.7266,21378219700.0
000852.XSHG,2015-06-09,14106.2292,16987537600.0
000852.XSHG,2015-06-10,14461.8111,17912358700.0
000852.XSHG,2015-06-11,14768.8814,18550515300.0
000852.XSHG,2015-06-12,15006.3388,20535094900.0
000852.XSHG,2015-06-15,14707.7784,22276396200.0
000852.XSHG,2015-06-16,14102.2218,19258967200.0
000852.XSHG,2015-06-17,14407.3131,18035931600.0
000852.XSHG,2015-06-18,13934.2148,16969618800.0
000852.XSHG,2015-06-19,13024.7156,15020172300.0
000852.XSHG,2015-06-23,13047.019,15652885400.0
000852.XSHG,2015-06-24,13313.7949,16515631300.0
000852.XSHG,2015-06-25,12760.4781,17286382800.0
000852.XSHG,2015-06-26,11730.7481,14740322000.0
000852.XSHG,2015-06-29,10906.0443,18227383600.0
000852.XSHG,2015-06-30,11381.4729,21688094700.0
000852.XSHG,2015-07-01,10734.0112,19036149500.0
000852.XSHG,2015-07-02,10002.3588,16921731500.0
000852.XSHG,2015-07-03,9358.7322,16450766900.0
000852.XSHG,2015-07-06,8858.9118,20266117700.0
000852.XSHG,2015-07-07,8356.1255,7838326900.0
000852.XSHG,2015-07-08,8114.6044,7850767900.0
000852.XSHG,2015-07-09,8348.8749,13413590700.0
000852.XSHG,2015-07-10,8620.2716,8226998700.0
000852.XSHG,2015-07-13,9032.5563,13273756800.0
000852.XSHG,2015-07-14,9338.169,18654009500.0
000852.XSHG,2015-07-15,8942.9051,21409852300.0
000852.XSHG,2015-07-16,9041.2287,20267447800.0
000852.XSHG,2015-07-17,9541.2589,18798279700.0
000852.XSHG,2015-07-20,9839.9168,23039609100.0
000852.XSHG,2015-07-21,10062.8931,20816137700.0
000852.XSHG,2015-07-22,10228.8632,22086114400.0
000852.XSHG,2015-07-23,10553.2221,23520744400.0
